Tree #,Month,Cone Stage,Scale Thickness (mm),Seed #,Conopthorus sp. (Beetle larva) ,Megastigmus (Wasp),Midge,Pinyon bore moth,Spider ,Unknown Seed insect,Comments,name,Cone Stage,,1,Young small cones,,,,,,,,,,,,,,
11,January,3,3,0,1,0,0,0,1,0,1 spider and some beetle parts,MBF,,,,,,,,,,,,,,,,,,
11,January,2,3,0,0,0,0,0,0,0,very sappy. 1 nonviable seed,MBF,,,,,,,,,,,,,,,,,,
11,January,2,4.5,0,0,1,0,0,0,0,silk present,MBF,,,,,,,,,,,,,,,,,,
11,January,2,4,0,0,0,0,0,0,0,"between a 1 and 2 small, but open on top closed on bottom 1 nonviable seed",MBF,,,,,,,,,,,,,,,,,,
11,January,1,3,0,3,1,0,0,0,0,silk present. beetle parts possibly. lots of frass,MBF,,,,,,,,,,,,,,,,,,
11,January,1,3.5,3,3,3,0,0,0,0,"frass, silk, pink little eggs, 3 larva",MBF,,,,,,,,,,,,,,,,,,
18,January,2,4,1,0,1,0,0,0,0,cocoon?,MBF,,,,,,,,,,,,,,,,,,
18,January,2,3.5,2,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
18,January,3,4,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
18,January,3,4,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
18,January,3,4,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
18,January,3,5,0,0,0,0,0,0,0,1 loose seed in bag 18,MBF,,,,,,,,,,,,,,,,,,
17,January,3,4,0,0,1,0,0,0,1,1 unidentified. silk present...wasp?,MBF,,,,,,,,,,,,,,,,,,
17,January,3,4,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
17,January,2,4,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
17,January,2,5,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
17,January,1,3,0,0,1,0,0,0,0,Cone had been hollowed out. lots of silk. found possible wasp body?,MBF,,,,,,,,,,,,,,,,,,
17,January,1,2,0,0,0,0,0,0,0,"Cone was hollow and full of sap, hard to see anything else",MBF,,,,,,,,,,,,,,,,,,
10,January,3,4,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
10,January,3,4.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
10,January,2,4,0,0,0,0,0,0,0,Extremely sappy ,SI,,,,,,,,,,,,,,,,,,
10,January,2,6,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
10,January,1,3,5,0,0,0,0,0,0,3 non viable seeds,SI,,,,,,,,,,,,,,,,,,
10,January,1,6,7,1,0,0,0,0,0,One seed eaten through and hollow ,SI,,,,,,,,,,,,,,,,,,
9,January,2,6,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
9,January,3,6.5,0,0,0,0,0,0,0,Lots of spider web,SI,,,,,,,,,,,,,,,,,,
9,January,2,4,1,1,1,0,0,0,0,Spider web and frass near middle of cone,SI,,,,,,,,,,,,,,,,,,
9,January,3,5.5,0,0,1,0,0,0,0,small bunch of spiderweb/silk,SI,,,,,,,,,,,,,,,,,,
9,January,2,5,2,0,0,0,0,1,0,Spider,SI,,,,,,,,,,,,,,,,,,
